"","Brew_ID","Name","City","State"
"256","255","Meckley's Cidery","Somerset Center"," MI"
"257","256","Stillwater Artisanal Ales","Baltimore"," MD"
"258","257","Finch's Beer Company","Chicago"," IL"
"259","258","South Austin Brewery","South Austin"," TX"
"260","259","Bauhaus Brew Labs","Minneapolis"," MN"
"261","260","Ozark Beer Company","Rogers"," AR"
"262","261","Mountain Town Brewing Company ","Mount Pleasant"," MI"
"263","262","Otter Creek Brewing","Waterbury"," VT"
"264","263","The Brewer's Art","Baltimore"," MD"
"265","264","Denver Beer Company","Denver"," CO"
"266","265","Ska Brewing Company","Durango"," CO"
"267","266","Tractor Brewing Company","Albuquerque"," NM"
"268","267","Peak Organic Brewing Company","Portland"," ME"
"269","268","Cape Cod Beer","Hyannis"," MA"
"270","269","Long Trail Brewing Company","Bridgewater Corners"," VT"
"271","270","Great Raft Brewing Company","Shreveport"," LA"
"272","271","Alaskan Brewing Company","Juneau"," AK"
"273","272","Notch Brewing Company","Ipswich"," MA"
"274","273","The Alchemist","Waterbury"," VT"
"275","274","Three Notch'd Brewing Company","Charlottesville"," VA"
"276","275","Portside Brewery","Cleveland"," OH"
"277","276","Otter Creek Brewing","Middlebury"," VT"
"278","277","Montauk Brewing Company","Montauk"," NY"
"279","278","Indeed Brewing Company","Minneapolis"," MN"
"280","279","Berkshire Brewing Company","South Deerfield"," MA"
"281","280","Foolproof Brewing Company","Pawtucket"," RI"
"282","281","Headlands Brewing Company","Mill Valley"," CA"
"283","282","Bolero Snort Brewery","Ridgefield Park"," NJ"
"284","283","Thunderhead Brewing Company","Kearney"," NE"
"285","284","Defiance Brewing Company","Hays"," KS"
"286","285","Milwaukee Brewing Company","Milwaukee"," WI"
"287","286","Catawba Island Brewing","Port Clinton"," OH"
"288","287","Back Forty Beer Company","Gadsden"," AL"
"289","288","Four Corners Brewing Company","Dallas"," TX"
"290","289","Saint Archer Brewery","San Diego"," CA"
"291","290","Rogue Ales","Newport"," OR"
"292","291","Hale's Ales","Seattle"," WA"
"293","292","Tommyknocker Brewery","Idaho Springs"," CO"
"294","293","Baxter Brewing Company","Lewiston"," ME"
"295","294","Northampton Brewery","Northamtpon"," MA"
"296","295","Black Shirt Brewing Company","Denver"," CO"
"297","296","Wachusett Brewing Company","Westminster"," MA"
"298","297","Widmer Brothers Brewing Company","Portland"," OR"
"299","298","Hop Farm Brewing Company","Pittsburgh"," PA"
"300","299","Liquid Hero Brewery","York"," PA"
"301","300","Matt Brewing Company","Utica"," NY"
"302","301","Boston Beer Company","Boston"," MA"
"303","302","Old Forge Brewing Company","Danville"," PA"
"304","303","Utah Brewers Cooperative","Salt Lake City"," UT"
"305","304","Magic Hat Brewing Company","South Burlington"," VT"
"306","305","Blue Hills Brewery","Canton"," MA"
"307","306","Night Shift Brewing","Everett"," MA"
"308","307","Beach Brewing Company","Virginia Beach"," VA"
"309","308","Payette Brewing Company","Garden City"," ID"
"310","309","Brew Bus Brewing","Tampa"," FL"
"311","310","Sockeye Brewing Company","Boise"," ID"
"312","311","Pine Street Brewery","San Francisco"," CA"
"313","312","Dirty Bucket Brewing Company","Woodinville"," WA"
"314","313","Jackalope Brewing Company","Nashville"," TN"
"315","314","Slanted Rock Brewing Company","Meridian"," ID"
"316","315","Piney River Brewing Company","Bucryus"," MO"
"317","316","Cutters Brewing Company","Avon"," IN"
"318","317","Iron Hill Brewery & Restaurant","Wilmington"," DE"
"319","318","Marshall Wharf Brewing Company","Belfast"," ME"
"320","319","Banner Beer Company","Williamsburg"," MA"
"321","320","Dick's Brewing Company","Centralia"," WA"
"322","321","Claremont Craft Ales","Claremont"," CA"
"323","322","Rivertown Brewing Company","Lockland"," OH"
"324","323","Voodoo Brewery","Meadville"," PA"
"325","324","D.L. Geary Brewing Company","Portland"," ME"
"326","325","Pisgah Brewing Company","Black Mountain"," NC"
"327","326","Neshaminy Creek Brewing Company","Croydon"," PA"
"328","327","Morgan Street Brewery","Saint Louis"," MO"
"329","328","Half Acre Beer Company","Chicago"," IL"
"330","329","The Just Beer Project","Burlington"," VT"
"331","330","The Bronx Brewery","Bronx"," NY"
"332","331","Dead Armadillo Craft Brewing","Tulsa"," OK"
"333","332","Catawba Brewing Company","Morganton"," NC"
"334","333","La Cumbre Brewing Company","Albuquerque"," NM"
"335","334","David's Ale Works","Diamond Springs"," CA"
"336","335","The Traveler Beer Company","Burlington"," VT"
"337","336","Fargo Brewing Company","Fargo"," ND"
"338","337","Big Sky Brewing Company","Missoula"," MT"
"339","338","Nebraska Brewing Company","Papillion"," NE"
"340","339","Uncle John's Fruit House Winery","St. John's"," MI"
"341","340","Wormtown Brewery","Worcester"," MA"
"342","341","Due South Brewing Company","Boynton Beach"," FL"
"343","342","Palisade Brewing Company","Palisade"," CO"
"344","343","KelSo Beer Company","Brooklyn"," NY"
"345","344","Hardywood Park Craft Brewery","Richmond"," VA"
"346","345","Wolf Hills Brewing Company","Abingdon"," VA"
"347","346","Lavery Brewing Company","Erie"," PA"
"348","347","Manzanita Brewing Company","Santee"," CA"
"349","348","Fullsteam Brewery","Durham"," NC"
"350","349","Four Horsemen Brewing Company","South Bend"," IN"
"351","350","Hinterland Brewery","Green Bay"," WI"
"352","351","Central Coast Brewing Company","San Luis Obispo"," CA"
"353","352","Westfield River Brewing Company","Westfield"," MA"
"354","353","Elevator Brewing Company","Columbus"," OH"
"355","354","Aslan Brewing Company","Bellingham"," WA"
"356","355","Kulshan Brewery","Bellingham"," WA"
"357","356","Pikes Peak Brewing Company","Monument"," CO"
"358","357","Manayunk Brewing Company","Philadelphia"," PA"
"359","358","Buckeye Brewing","Cleveland"," OH"
"360","359","Daredevil Brewing Company","Shelbyville"," IN"
"361","360","NoDa Brewing Company","Charlotte"," NC"
"362","361","Aviator Brewing Company","Fuquay-Varina"," NC"
"363","362","Wild Onion Brewing Company","Lake Barrington"," IL"
"364","363","Hilliard's Beer","Seattle"," WA"
"365","364","Mikkeller","Pottstown"," PA"
"366","365","Bohemian Brewery","Midvale"," UT"
"367","366","Great River Brewery","Davenport"," IA"
"368","367","Mustang Brewing Company","Mustang"," OK"
"369","368","Airways Brewing Company","Kent"," WA"
"370","369","21st Amendment Brewery","San Francisco"," CA"
"371","370","Eddyline Brewery & Restaurant","Buena Vista"," CO"
"372","371","Pizza Port Brewing Company","Carlsbad"," CA"
"373","372","Sly Fox Brewing Company","Pottstown"," PA"
"374","373","Spring House Brewing Company","Conestoga"," PA"
"375","374","7venth Sun","Dunedin"," FL"
"376","375","Astoria Brewing Company","Astoria"," OR"
"377","376","Maui Brewing Company","Lahaina"," HI"
"378","377","RoughTail Brewing Company","Midwest City"," OK"
"379","378","Lucette Brewing Company","Menominee"," WI"
"380","379","Bold City Brewery","Jacksonville"," FL"
"381","380","Grey Sail Brewing of Rhode Island","Westerly"," RI"
"382","381","Blue Blood Brewing Company","Lincoln"," NE"
"383","382","Swashbuckler Brewing Company","Manheim"," PA"
"384","383","Blue Mountain Brewery","Afton"," VA"
"385","384","Starr Hill Brewery","Crozet"," VA"
"386","385","Westbrook Brewing Company","Mt. Pleasant"," SC"
"387","386","Shipyard Brewing Company","Portland"," ME"
"388","387","Revolution Brewing","Paonia"," CO"
"389","388","Natian Brewery","Portland"," OR"
"390","389","Alltech's Lexington Brewing Company","Lexington"," KY"
"391","390","Oskar Blues Brewery (North Carol...","Brevard"," NC"
"392","391","Orlison Brewing Company","Airway Heights"," WA"
"393","392","Breckenridge Brewery","Denver"," CO"
"394","393","Santa Fe Brewing Company","Santa Fe"," NM"
"395","394","Miami Brewing Company","Miami"," FL"
"396","395","Schilling & Company","Seattle"," WA"
"397","396","Hops & Grain Brewery","Austin"," TX"
"398","397","White Flame Brewing Company","Hudsonville"," MI"
"399","398","Ruhstaller Beer Company","Sacramento"," CA"
"400","399","Saugatuck Brewing Company","Douglas"," MI"
"401","400","Moab Brewery","Moab"," UT"
"402","401","Macon Beer Company","Macon"," GA"
"403","402","Amnesia Brewing Company","Washougal"," WA"
"404","403","Wolverine State Brewing Company","Ann Arbor"," MI"
"405","404","Red Tank Cider Company","Bend"," OR"
"406","405","Cascadia Ciderworks United","Portland"," OR"
"407","406","Fate Brewing Company","Boulder"," CO"
"408","407","Lazy Monk Brewing","Eau Claire"," WI"
"409","408","Bitter Root Brewing","Hamilton"," MT"
"410","409","10 Barrel Brewing Company","Bend"," OR"
"411","410","Tamarack Brewing Company","Lakeside"," MT"
"412","411","New England Brewing Company","Woodbridge"," CT"
"413","412","Seattle Cider Company","Seattle"," WA"
"414","413","Straight to Ale","Huntsville"," AL"
"415","414","Austin Beerworks","Austin"," TX"
"416","415","Blue Mountain Brewery","Arrington"," VA"
"417","416","Coastal Empire Beer Company","Savannah"," GA"
"418","417","Jack's Hard Cider (Hauser Estate...","Biglerville"," PA"
"419","418","Boulder Beer Company","Boulder"," CO"
"420","419","Coalition Brewing Company","Portland"," OR"
"421","420","Sanitas Brewing Company","Boulder"," CO"
"422","421","Gore Range Brewery","Edwards"," CO"
"423","422","Redstone Meadery","Boulder"," CO"
"424","423","Blue Dog Mead","Eugene"," OR"
"425","424","Hess Brewing Company","San Diego"," CA"
"426","425","Wynkoop Brewing Company","Denver"," CO"
"427","426","Ciderboys","Stevens Point"," WI"
"428","427","Armadillo Ale Works","Denton"," TX"
"429","428","Roanoke Railhouse Brewery","Roanoke"," VA"
"430","429","Schlafly Brewing Company","Saint Louis"," MO"
"431","430","Asher Brewing Company","Boulder"," CO"
"432","431","Lost Rhino Brewing Company","Ashburn"," VA"
"433","432","North Country Brewing Company","Slippery Rock"," PA"
"434","433","Seabright Brewery","Santa Cruz"," CA"
"435","434","French Broad Brewery","Asheville"," NC"
"436","435","Angry Orchard Cider Company","Cincinnati"," OH"
"437","436","Two Roads Brewing Company","Stratford"," CT"
"438","437","Southern Oregon Brewing Company","Medford"," OR"
"439","438","Brooklyn Brewery","Brooklyn"," NY"
"440","439","The Right Brain Brewery","Traverse City"," MI"
"441","440","Kona Brewing Company","Kona"," HI"
"442","441","MillKing It Productions","Royal Oak"," MI"
"443","442","Pateros Creek Brewing Company","Fort Collins"," CO"
"444","443","O'Fallon Brewery","O'Fallon"," MO"
"445","444","Marble Brewery","Albuquerque"," NM"
"446","445","Big Wood Brewery","Vadnais Heights"," MN"
"447","446","Howard Brewing Company","Lenoir"," NC"
"448","447","Downeast Cider House","Leominster"," MA"
"449","448","Swamp Head Brewery","Gainesville"," FL"
"450","449","Mavericks Beer Company","Half Moon Bay"," CA"
"451","450","TailGate Beer","San Diego"," CA"
"452","451","Northwest Brewing Company","Pacific"," WA"
"453","452","Dad & Dude's Breweria","Aurora"," CO"
"454","453","Centennial Beer Company","Edwards"," CO"
"455","454","Denali Brewing Company","Talkeetna"," AK"
"456","455","Deschutes Brewery","Bend"," OR"
"457","456","Sunken City Brewing Company","Hardy"," VA"
"458","457","Lucette Brewing Company","Menominie"," WI"
"459","458","The Black Tooth Brewing Company","Sheridan"," WY"
"460","459","Kenai River Brewing Company","Soldotna"," AK"
"461","460","River North Brewery","Denver"," CO"
"462","461","Fremont Brewing Company","Seattle"," WA"
"463","462","Armstrong Brewing Company","South San Francisco"," CA"
"464","463","AC Golden Brewing Company","Golden"," CO"
"465","464","Big Bend Brewing Company","Alpine"," TX"
"466","465","Good Life Brewing Company","Bend"," OR"
"467","466","Engine 15 Brewing","Jacksonville Beach"," FL"
"468","467","Green Room Brewing","Jacksonville"," FL"
"469","468","Brindle Dog Brewing Company","Tampa Bay"," FL"
"470","469","Peace Tree Brewing Company","Knoxville"," IA"
"471","470","Terrapin Brewing Company","Athens"," GA"
"472","471","Pete's Brewing Company","San Antonio"," TX"
"473","472","Okoboji Brewing Company","Spirit Lake"," IA"
"474","473","Crystal Springs Brewing Company","Boulder"," CO"
"475","474","Engine House 9","Tacoma"," WA"
"476","475","Tonka Beer Company","Minnetonka"," MN"
"477","476","Red Hare Brewing Company","Marietta"," GA"
"478","477","Hangar 24 Craft Brewery","Redlands"," CA"
"479","478","Big Elm Brewing","Sheffield"," MA"
"480","479","Good People Brewing Company","Birmingham"," AL"
"481","480","Heavy Seas Beer","Halethorpe"," MD"
"482","481","Telluride Brewing Company","Telluride"," CO"
"483","482","7 Seas Brewing Company","Gig Harbor"," WA"
"484","483","Confluence Brewing Company","Des Moines"," IA"
"485","484","Bale Breaker Brewing Company","Yakima"," WA"
"486","485","The Manhattan Brewing Company","New York"," NY"
"487","486","MacTarnahans Brewing Company","Portland"," OR"
"488","487","Stillmank Beer Company","Green Bay"," WI"
"489","488","Redhook Brewery","Woodinville"," WA"
"490","489","Dock Street Brewery","Philadelphia"," PA"
"491","490","Blue Point Brewing Company","Patchogue"," NY"
"492","491","Tampa Bay Brewing Company","Tampa"," FL"
"493","492","Devil's Canyon Brewery","Belmont"," CA"
"494","493","Stone Coast Brewing Company","Portland"," ME"
"495","494","Broken Tooth Brewing Company","Anchorage"," AK"
"496","495","Seven Brides Brewery","Silverton"," OR"
"497","496","Newburyport Brewing Company","Newburyport"," MA"
"498","497","Dry Dock Brewing Company","Aurora"," CO"
"499","498","Cans Bar and Canteen","Charlotte"," NC"
"500","499","Sprecher Brewing Company","Glendale"," WI"
"501","500","Wildwood Brewing Company","Stevensville"," MT"
"502","501","High Noon Saloon And Brewery","Leavenworth"," KS"
"503","502","Woodchuck Hard Cider","Middlebury"," VT"
"504","503","Sea Dog Brewing Company","Portland"," ME"
"505","504","Oskar Blues Brewery","Lyons"," CO"
"506","505","Carolina Beer & Beverage","Mooresville"," NC"
"507","506","Krebs Brewing Company (Pete's Pl...","Krebs"," OK"
"508","507","Warbird Brewing Company","Fort Wayne"," IN"
"509","508","Mudshark Brewing Company","Lake Havasu City"," AZ"
"510","509","Spilker Ales","Cortland"," NE"
"511","510","Wingman Brewers","Tacoma"," WA"
"512","511","Kettle House Brewing Company","Missoula"," MT"
"513","512","Sherwood Forest Brewers","Marlborough"," MA"
"514","513","Cottrell Brewing","Pawcatuck"," CT"
"515","514","Arctic Craft Brewery","Colorado Springs"," CO"
"516","515","Monkey Paw Pub & Brewery","San Diego"," CA"
"517","516","Crabtree Brewing Company","Greeley"," CO"
"518","517","Emerald City Beer Company","Seattle"," WA"
"519","518","Butcher's Brewing","Carlsbad"," CA"
"520","519","New South Brewing Company","Myrtle Beach"," SC"
"521","520","Big River Brewing Company","Chattanooga"," TN"
"522","521","Twisted Pine Brewing Company","Boulder"," CO"
"523","522","Flying Dog Brewery","Frederick"," MD"
"524","523","Uncommon Brewers","Santa Cruz"," CA"
"525","524","Aspen Brewing Company","Aspen"," CO"
"526","525","Triangle Brewing Company","Durham"," NC"
"527","526","Bomb Beer Company","New York"," NY"
"528","527","Churchkey Can Company","Seattle"," WA"
"529","528","Intuition Ale Works","Jacksonville"," FL"
"530","529","Asheville Brewing Company","Asheville"," NC"
"531","530","Northwoods Brewpub","Eau Claire"," WI"
"532","531","Buckbean Brewing Company","Reno"," NV"
"533","532","Dolores River Brewery","Dolores"," CO"
"534","533","Flat Rock Brewing Company","Smithton"," PA"
"535","534","Abita Brewing Company","Abita Springs"," LA"
"536","535","Mammoth Brewing Company","Mammoth Lakes"," CA"
"537","536","Harvest Moon Brewing Company","Belt"," MT"
"538","537","Grand Canyon Brewing Company","Williams"," AZ"
"539","538","Lewis and Clark Brewing Company","Helena"," MT"
"540","539","Dundee Brewing Company","Rochester"," NY"
"541","540","Twin Lakes Brewing Company","Greenville"," DE"
"542","541","Mother Earth Brewing Company","Kinston"," NC"
"543","542","Arcadia Brewing Company","Battle Creek"," MI"
"544","543","Angry Minnow Brewing Company","Hayward"," WI"
"545","544","Great Northern Brewing Company","Whitefish"," MT"
"546","545","Pyramid Breweries","Seattle"," WA"
"547","546","Lancaster Brewing Company","Lancaster"," PA"
"548","547","Upstate Brewing Company","Elmira"," NY"
"549","548","Moat Mountain Smoke House & Brew...","North Conway"," NH"
"550","549","Prescott Brewing Company","Prescott"," AZ"
"551","550","Mogollon Brewing Company","Flagstaff"," AZ"
"552","551","Wind River Brewing Company","Pinedale"," WY"
"553","552","Silverton Brewery","Silverton"," CO"
"554","553","Mickey Finn's Brewery","Libertyville"," IL"
"555","554","Covington Brewhouse","Covington"," LA"
"556","555","Dave's Brewfarm","Wilson"," WI"
"557","556","Ukiah Brewing Company","Ukiah"," CA"
"558","557","Butternuts Beer and Ale","Garrattsville"," NY"
"559","558","Sleeping Lady Brewing Company","Anchorage"," AK"
